魯迅	吶喊	?M=book&P=435	eagle.rex校正 2011/9/6 (172K) 蟻滿長安勘誤3處 2017/4/7
沈從文	邊城	?M=book&P=394	eagle.rex校正 2011/9/6 (169K) sue1289勘誤15處 2015/11/6
老舍	駱駝祥子	?M=book&P=401	美格騰製作 2004/12/5 (274K) 大奇按原書勘誤38處 2016/8/5
張愛玲	傳奇	?M=book&P=430	eagle.rex校正 2012/4/3 (554K) mPDB勘誤 2015/8/7
茅盾	子夜	?M=book&P=437	美格騰製作 2005/9/21 (599K) 大奇按原書勘誤5處 2016/8/5
白先勇	台北人	?M=book&P=244	Lin Lee校正 2012/6/28 (222K) Kendrick Ho勘誤 2014/9/5
巴金	家	?M=book&P=443	eagle.rex校正 2012/5/12 (522K) mPDB勘誤 2015/8/7
蕭紅	呼蘭河傳	?M=book&P=434	eagle.rex校正 2012/1/30 (227K) A Yung、SYChang勘誤 2014/9/5
劉鶚	老殘遊記	?M=book&P=85	SHG校正 2014/10/3 (258K)
巴金	寒夜	?M=book&P=484	美格騰製作 2006/8/24 (298K) 大奇勘誤33處 2016/2/5
魯迅	彷徨	?M=book&P=436	美格騰製作 2005/9/19 (166K) 蟻滿長安勘誤8處 2017/4/7
李伯元	官場現形記	?M=book&P=446	美格騰製作 2005/12/14 (1286K) 蔡佩伶勘誤 2013/10/11
路翎	財主底兒女們	?M=book&P=476	美格騰製作 2006/8/4 (1409K) Fong勘誤 2011/9/28
陳映真	將軍族	?M=book&P=448	大奇校正 2015/8/7 (17K)
郁達夫	沉淪	?M=book&P=451	eagle.rex校正 2012/7/12 (44K) sue1289勘誤4處 2016/11/4
李劼人	死水微瀾	?M=book&P=483	eagle.rex校正 2012/11/23 (277K)
莫言	紅高粱	?M=book&P=478	Lin Lee校正 2012/5/30 (103K)
趙樹理	小二黑結婚	?M=book&P=433	eagle.rex校正 2012/11/23 (20K) A Yung勘誤 2014/6/6
阿城	棋王	?M=book&P=391	雲淡風輕校正 2011/11/11 (177K) 王納勘誤2處 2017/11/3
王文興	家變	?M=book&P=11N3	eagle.rex製作 2011/12/31 (225K) Kyle Song勘誤1處 2016/7/1
吳濁流	亞細亞的孤兒	?M=book&P=480	分工製作 2012/7/26 (293K) Stephen Tsang勘誤 2012/11/30
張愛玲	半生緣	?M=book&P=431	薛嚴嚴校正 2012/3/28 (447K) mPDB勘誤 2015/6/5
老舍	四世同堂	?M=book&P=404	美格騰製作 2005/1/17 (1443K) Fong勘誤 2012/9/21
高陽	胡雪巖	?M=book&P=398	美格騰、蔡覓華製作 2009/9/20 (2975K) 星槎按原書勘誤胡170處紅76處 2017/6/2
張恨水	啼笑因緣	?M=book&P=479	美格騰製作 2006/8/8 (453K) Joy勘誤 2013/5/31
黃春明	兒子的大玩偶	?M=book&P=481	邱五製作 2017/9/1 (223K) sue1289勘誤12處 2017/10/6
金庸	射鵰英雄傳	?M=book&P=55	美格騰製作 2006/2/12 (1855K) tiknuhc按掃描檔勘誤多處 2017/8/4
丁玲	莎菲女士的日記	?M=book&P=429	eagle.rex校正 2013/6/21 (48K) A Yung勘誤 2014/9/5
金庸	鹿鼎記	?M=book&P=67	美格騰製作 2003/7/11 (2541K) 敖先榮勘誤6處 2016/10/7
曾樸	孽海花	?M=book&P=500	Fong校正 2012/9/6 (515K)
賴和	惹事	?M=book&P=449	Lin Lee校正 2012/6/20 (19K) A Yung勘誤 2014/6/6
王禎和	嫁妝一牛車	?M=book&P=499	eagle.rex校正 2011/11/14 (28K)
唐浩明	曾國藩	?M=book&P=395	美格騰製作 2004/11/9 (2070K) mPDB勘誤一7處二7處三9處 2016/8/5
鍾理和	原鄉人	?M=book&P=505	邱五製作 2017/10/6 (220K)
陳忠實	白鹿原	?M=book&P=416	eagle.rex校正 2012/6/2 (948K) HC勘誤1處、Fong按原書勘誤37處 2016/3/4
王安憶	長恨歌	?M=book&P=453	美格騰製作 2005/12/25 (530K) 溫帶勘誤 2015/1/2
李永平	吉陵春秋	?M=book&P=521	eagle.rex校正 2013/6/14 (245K) Fong勘誤 2014/8/1
王力雄	黃禍	?M=book&P=537	邱子軒製作 2007/7/6 (954K) Fong勘誤 2014/10/3
司馬中原	狂風沙	?M=book&P=482	美格騰製作 2006/8/18 (1411K) sue1289勘誤52處 2017/6/2
浩然	艷陽天	?M=book&P=574	陳偉森製作 2010/3/27 (2103K) A Yung勘誤 2015/1/2
穆時英	公墓	?M=book&P=473	美格騰製作 2006/7/24 (23K) Fong勘誤2處 2015/11/6
李銳	舊址	?M=book&P=513	美格騰製作 2006/12/8 (295K) Fong勘誤15處 2015/12/4
楊絳	洗澡	?M=book&P=474	Lin Lee校正 2012/6/9 (277K) Fong勘誤2處 2016/9/2
姜貴	旋風	?M=book&P=502	guinness校正 2013/7/5 (608K) A Yung勘誤 2015/1/2
孫犁	荷花淀	?M=book&P=507	美格騰製作 2006/11/26 (9K) A Yung勘誤 2014/6/6
汪曾祺	受戒	?M=book&P=508	sue1289製作 2017/7/7 (254K)
朱西甯	鐵漿	?M=book&P=509	Lin Lee校正2012/7/19 (20K) sue1289勘誤 2013/10/25
朱天文	世紀末的華麗	?M=book&P=550	邱應琦補缺 2014/12/5 (173K) mPDB勘誤8處 2017/8/4
還珠樓主	蜀山劍俠傳	?M=book&P=17F0	邱五製作 (2788K) 2017/7/7
賈平凹	浮躁	?M=book&P=539	大奇校正補缺 2016/9/2 (596K)
王蒙	組織部來了個年輕人	?M=book&P=556	邱子軒製作 2008/10/28 (48K) Read2017勘誤1處 2017/3/3
徐枕亞	玉梨魂	?M=book&P=11N5	eagle.rex製作 2012/1/9 (228K) eagle.rex勘誤 2012/1/12
施叔青	香港三部曲	?M=book&P=544	李亦流校正 2011/8/28 (671K) 敖先榮勘誤 2014/12/5
林語堂	京華煙雲	?M=book&P=541	美格騰製作 2007/9/19 (1082K)  Steve勘誤9處 2016/10/7
葉聖陶	倪煥之	?M=book&P=576	陳偉森製作 2010/4/23 (319K) mPDB轉檔 2010/12/23
許地山	春桃	?M=book&P=506	tiknuhc校正 2011/11/11 (26K) sue1289勘誤3處 2016/11/4
聶華苓	桑青與桃紅	?M=book&P=1144	guinness更新 2015/1/2 (246K)
王藍	藍與黑	?M=book&P=545	美格騰製作 2008/2/23 (613K) mPDB勘誤42處 2016/8/5
柔石	二月	?M=book&P=535	美格騰製作 2007/6/2 (150K) A Yung勘誤 2014/9/5
徐訏	風蕭蕭	?M=book&P=566	k.p.lee製作 2009/8/3 (590K) mPDB勘誤 2015/10/2
古華	芙蓉鎮	?M=book&P=553	邱子軒製作 2008/10/10 (280K) mPDB轉檔 2010/12/25
臺靜農	地之子	?M=book&P=551	邱子軒製作 2008/9/20 (144K) loading1912勘誤 2014/8/1
張煒	古船	?M=book&P=514	Lin Lee 校正 2012/7/2 (543K)
劉以鬯	酒徒	?M=book&P=534	Kendrick Ho校正 2011/6/17 (238K) mPDB勘誤 2015/4/3
鹿橋	未央歌	?M=book&P=562	楊慶松校正 2009/6/13 (946K) Ed2017勘誤30處 2017/3/3
張潔	沉重的翅膀	?M=book&P=11M9	sue1289製作 2011/12/16 (452K) JC勘誤1處 2015/12/4
師陀	果園城記	?M=book&P=580	陳偉森製作 2010/9/19 (153K) 陳偉森更新 2013/3/22
王小波	黃金時代	?M=book&P=454	邱五製作 2017/7/7 (548K) 
劉恆	狗日的糧食	?M=book&P=428	美格騰製作 2005/9/7 (19K) mPDB勘誤 2012/1/18
張系國	棋王	?M=book&P=472	阿克校正 2012/6/14 (176K) 蟻滿長安勘誤5處 2017/6/2
黃凡	賴索	?M=book&P=549	邱子軒製作 2008/8/4 (35K) 敖先榮勘誤 2014/10/3
蘇童	妻妾成群	?M=book&P=389	Lin Lee校正 2013/5/17 (73K) 敖先榮 2013/5/31
李碧華	霸王別姬	?M=book&P=504	Damon校正 2010/6/2 (222K) mPDB勘誤 2012/1/18
李昂	殺夫	?M=book&P=447	Lin Lee校正 2012/5/17 (120K)
瓊瑤	窗外	?M=book&P=320	美格騰製作 2003/11/23 (350K) durianboy勘誤4處 2016/12/2
蘇偉貞	沉默之島	?M=book&P=578	陳偉森製作 2010/5/12 (247K) mPDB勘誤 2012/1/18
梁羽生	白髮魔女傳	?M=book&P=438	guinness校正 2013/1/18 (815K) 簡華特勘誤25處 2017/11/3
朱天心	古都	?M=book&P=557	邱子軒製作 2008/11/1 (209K) Alvin勘誤與補充 2014/3/7
陳若曦	尹縣長	?M=book&P=546	2008/4/13 (161K) Joy勘誤 2013/6/14
張大春	四喜憂國	?M=book&P=450	邱五製作 2017/5/5 (250K) sue1289勘誤14處 2017/6/2
亦舒	喜寶	?M=book&P=400	eagle.rex、sue1289校正 2011/10/15 (313K) Amy勘誤4處、sue1289勘誤28處 2017/5/5
張賢亮	男人的一半是女人	?M=book&P=503	美格騰製作 2006/11/12 (269K) mPDB勘誤9處 2017/7/7
施蟄存	將軍底頭	?M=book&P=452	美格騰製作 2005/12/24 (42K) A Yung勘誤 2014/6/6
倪匡	藍血人	?M=book&P=89	Lin Lee校正 2013/12/6 (404K) (404K)
吳趼人	二十年目睹之怪現狀	?M=book&P=569	k.p.lee製作 2009/8/30 (1088K) 蔡佩伶勘誤 2013/10/11
余華	活著	?M=book&P=471	大奇校正 2015/6/5 (197K) 平步青雲勘誤1處 2016/7/1
馬原	岡底斯的誘惑	?M=book&P=555	邱子軒製作 2008/10/25 (66K) 大奇勘誤18處 2016/2/5
無名氏	北極風情畫	?M=book&P=548	sue1289校正 2011/12/27 (217K) 大奇按原書勘誤17處 2016/8/5
